corpus,dataset,truefam,reg_binary,reg_maxdisagree,reg_alpha_localev,reg_bestalpha_oracle
ovrbench,FICO-HELOC-cleaned,local,0.2055028599576837,0.2055028599576837,0.2055028599576837,0.09219823173681295
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,local,0.03187394664273335,0.03187394664273335,0.03187394664273335,0.0
oddbench,TrialBehavior,global,0.18109472810508132,0.16290222709948066,0.16290222709948066,0.15503734070364256
ovrbench,compass,local,0.16896319540113858,0.16896319540113858,0.1653268874504332,0.16305426443768084
ovrbench,KickstarterCampaigns,local,0.24194914408790147,0.2618984229488858,0.24194914408790147,0.24194914408790147
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,global,0.22628655413351279,0.20135496545106774,0.20135496545106774,0.18566225590303526
adbench,19_landsat,local,0.003688256737989337,0.003688256737989337,0.003688256737989337,0.003688256737989337
ovrbench,SpatialAnomalies,local,0.0,0.0,0.024233207002364976,0.0
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,local,0.0,0.0,0.0,0.0
oddbench,RulePriorityAnomalies,global,0.0048077598317112225,0.0048077598317112225,0.010307235059453093,0.0048077598317112225
oddbench,WaterChemistry,local,0.09382276055857175,0.09382276055857175,0.09382276055857175,0.0
ovrbench,EmployeePerformance,local,0.8766246600744103,0.8766246600744103,0.0913918702608651,0.0913918702608651
ovrbench,SepsisMonitoring,local,0.11655867615474362,0.11655867615474362,0.11655867615474362,0.0
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,global,0.08361958283459373,0.08361958283459373,0.08361958283459373,0.08361958283459373
ovrbench,BatchProcessingEvents,local,0.00827866699837875,0.00827866699837875,0.058397221162120004,0.00827866699837875
ovrbench,PhysicsTraining,local,0.1837829312643468,0.1837829312643468,0.1837829312643468,0.01709161939175537
ovrbench,volkert,global,0.267499754337892,0.267499754337892,0.267499754337892,0.267499754337892
ovrbench,FireRiskAnalysis,global,0.01467749850148023,0.01467749850148023,0.01467749850148023,0.01467749850148023
adbench,30_satellite,global,0.18626760098810935,0.18626760098810935,0.18626760098810935,0.18626760098810935
oddbench,AttackIncidents,local,0.1038199915477071,0.1038199915477071,0.1038199915477071,0.034658549411141236
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,local,0.07872474796417889,0.07872474796417889,0.10600684220289985,0.07872474796417889
ovrbench,RealEstateData,global,0.20348402128455056,0.20348402128455056,0.20348402128455056,0.15183700717597598
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,local,0.04217647301175417,0.04217647301175417,0.04217647301175417,0.0
oddbench,RacingMotion,local,0.9391296238090816,0.9391296238090816,0.9391296238090816,0.6805272201808648
ovrbench,CryptojackingSystem,local,0.038069742972189236,0.038069742972189236,0.18895930050727855,0.038069742972189236
ovrbench,CreditScoringAnomalies,local,0.29224599194176715,0.29224599194176715,0.29224599194176715,0.14488118625067717
oddbench,LandShapeAnomaly,global,0.17712058378482778,0.17712058378482778,0.0,0.0
