corpus,dataset,best,worst,mean,p10,p90,spread,oracle_gain,truefam
adbench,30_satellite,0.44154461807403056,-0.28165124410750475,0.03411861403779219,-0.25081899539676095,0.3119943769082757,0.7231958621815353,0.40742600403623835,global
oddbench,AttackIncidents,0.03425811156429573,-0.08794153916575521,-0.028953768747796076,-0.07507051028962211,0.01381294503284979,0.12219965073005094,0.06321188031209181,local
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,0.5228740032833189,-0.025279805494100027,0.16655410825906009,-0.022590893189055893,0.4647945764264856,0.5481538087774189,0.3563198950242588,local
ovrbench,RealEstateData,0.5058252822755567,-0.2369898084366332,-0.01665081077032967,-0.2060323362373605,0.22905097464000795,0.7428150907121899,0.5224760930458864,global
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,0.21558268198047423,0.013334081116647547,0.08272656634264718,0.023026574103480878,0.17142511219181208,0.20224860086382668,0.13285611563782707,local
oddbench,RacingMotion,0.9993022793546152,-0.18540833140853094,0.5023083699822116,-0.018668308619390013,0.9986253469915454,1.1847106107631462,0.4969939093724036,local
ovrbench,CryptojackingSystem,0.32222373250792635,-0.07465835761954438,0.047395968645615814,-0.04558088907030796,0.25269390235790884,0.3968820901274707,0.27482776386231056,local
oddbench,LandShapeAnomaly,0.17545281974805516,-0.07700605525056853,0.049552831008576825,-0.006615652499460388,0.13877194514000657,0.2524588749986237,0.12589998873947833,global
ovrbench,CreditScoringAnomalies,0.07856531158544484,-0.25529310294358754,-0.14205799785980985,-0.23313640477150754,0.031908895339456345,0.33385841452903237,0.2206233094452547,local
ovrbench,XSSDetection,0.4648866311261352,-0.7602674321522088,-0.09010614771417107,-0.7087628931703536,0.4196714007668918,1.225154063278344,0.5549927788403063,global
ovrbench,NetworkHealthMonitor,0.02124776363146094,-0.13037604160156313,-0.041897965851438894,-0.10039103184717915,0.004503237112407402,0.15162380523302407,0.06314572948289983,local
oddbench,OkCupidUserBehavior,0.07436136927674268,-0.00857772307628177,0.04589424987846383,0.018492083996032638,0.06591433766862767,0.08293909235302445,0.028467119398278853,local
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,0.21723681152756333,-0.022575395512408402,0.05299189184721381,-0.011540390764848156,0.19757457982222465,0.23981220703997172,0.16424491968034952,local
ovrbench,KDD,0.05785741512369284,-0.06326614952352086,-0.02030339216171443,-0.059282452216722195,0.032682859393015865,0.1211235646472137,0.07816080728540728,global
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,0.10033936521363032,-0.01946911763570498,0.021054609677533042,-0.015186226696350492,0.07754906213003927,0.1198084828493353,0.07928475553609728,local
oddbench,PoliceForceDisturbance,0.20760806119026592,-0.353116729991129,-0.11283570587338788,-0.3240050478003109,0.10187679240351559,0.5607247911813948,0.3204437670636538,local
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,0.13788168910541831,-0.014929996391196756,0.03171706751855543,-0.008187469842114398,0.0989412862404875,0.15281168549661506,0.10616462158686288,local
ovrbench,WebpageSessionIntrusion,0.06138297391280689,-0.17940044597507676,-0.08237892317304342,-0.13751583538933063,-0.015629841365874572,0.24078341988788365,0.1437618970858503,local
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,0.10030871009656395,-0.03822251726759943,0.01632737751603705,-0.019571539382588987,0.04948666111611462,0.13853122736416337,0.0839813325805269,global
ovrbench,UrlAnalysis,0.4706699052188765,-0.28084548689381533,0.20522947684379467,-0.14660749621113178,0.3971091552706606,0.7515153921126918,0.26544042837508186,global
oddbench,CourseRegistration,0.06486371955560942,-0.4031299355736676,-0.1969790904527587,-0.34840397513236215,-0.05356449094536169,0.46799365512927704,0.2618428100083681,local
